,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,gdp_per_capita_usd,generation,country_code_name,continent,sub_region,demo_group
0,Albania,1987,male,15-24 years,21,312900,6.71,796,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
1,Albania,1987,male,35-54 years,16,308000,5.19,796,Silent,ALB,Europe,Southern Europe,male : 35-54 years
2,Albania,1987,female,15-24 years,14,289700,4.83,796,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
3,Albania,1987,male,75+ years,1,21800,4.59,796,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
4,Albania,1987,male,25-34 years,9,274300,3.28,796,Boomers,ALB,Europe,Southern Europe,male : 25-34 years
5,Albania,1987,female,75+ years,1,35600,2.81,796,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
6,Albania,1987,female,35-54 years,6,278800,2.15,796,Silent,ALB,Europe,Southern Europe,female : 35-54 years
7,Albania,1987,female,25-34 years,4,257200,1.56,796,Boomers,ALB,Europe,Southern Europe,female : 25-34 years
8,Albania,1987,male,55-74 years,1,137500,0.73,796,G.I. Generation,ALB,Europe,Southern Europe,male : 55-74 years
12,Albania,1988,female,75+ years,2,36400,5.49,769,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
13,Albania,1988,male,15-24 years,17,319200,5.33,769,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
14,Albania,1988,male,75+ years,1,22300,4.48,769,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
15,Albania,1988,male,35-54 years,14,314100,4.46,769,Silent,ALB,Europe,Southern Europe,male : 35-54 years
16,Albania,1988,male,55-74 years,4,140200,2.85,769,G.I. Generation,ALB,Europe,Southern Europe,male : 55-74 years
17,Albania,1988,female,15-24 years,8,295600,2.71,769,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
18,Albania,1988,female,55-74 years,3,147500,2.03,769,G.I. Generation,ALB,Europe,Southern Europe,female : 55-74 years
19,Albania,1988,female,25-34 years,5,262400,1.91,769,Boomers,ALB,Europe,Southern Europe,female : 25-34 years
20,Albania,1988,male,25-34 years,5,279900,1.79,769,Boomers,ALB,Europe,Southern Europe,male : 25-34 years
21,Albania,1988,female,35-54 years,4,284500,1.41,769,Silent,ALB,Europe,Southern Europe,female : 35-54 years
24,Albania,1989,male,75+ years,2,22500,8.89,833,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
25,Albania,1989,male,25-34 years,18,283600,6.35,833,Boomers,ALB,Europe,Southern Europe,male : 25-34 years
