,year,continent,suicides_per_100k_pop,country
0,1987,Africa,19.388333333333332,2
1,1987,Americas,9.954405940594063,21
2,1987,Asia,14.041,8
3,1987,Europe,18.616453201970455,19
4,1987,Oceania,17.359130434782607,2
5,1988,Africa,22.37363636363636,1
6,1988,Americas,11.1290306122449,20
7,1988,Asia,16.9984126984127,6
8,1988,Europe,17.51409756097561,19
9,1988,Oceania,17.46681818181818,2
10,1989,Africa,19.240000000000006,1
11,1989,Americas,10.629952153110047,21
12,1989,Asia,17.704745762711863,5
13,1989,Europe,18.181125541125535,21
14,1989,Oceania,16.302272727272726,2
15,1990,Africa,16.317999999999998,1
16,1990,Americas,11.060694444444444,24
17,1990,Asia,13.648394160583946,12
18,1990,Europe,19.308901515151497,24
19,1990,Oceania,16.314545454545453,2
20,1991,Africa,19.679000000000002,1
21,1991,Americas,10.733814432989691,20
22,1991,Asia,12.798467153284673,12
23,1991,Europe,20.687985611510776,25
24,1991,Oceania,18.523103448275865,3
25,1992,Africa,16.5825,1
26,1992,Americas,11.589210526315787,18
27,1992,Asia,11.57251700680272,13
28,1992,Europe,20.169865319865323,27
29,1992,Oceania,16.14851851851852,3
30,1993,Africa,15.908181818181822,1
31,1993,Americas,12.07989847715736,22
32,1993,Asia,13.151287878787882,12
33,1993,Europe,19.658881578947362,27
34,1993,Oceania,16.875806451612902,3
35,1994,Africa,15.465,1
36,1994,Americas,11.763399999999995,21
37,1994,Asia,13.488552631578951,14
38,1994,Europe,20.282025316455695,28
39,1994,Oceania,18.45357142857143,3
40,1995,Africa,15.220833333333333,1
41,1995,Americas,13.850858369098708,25
42,1995,Asia,13.474475524475531,13
43,1995,Europe,23.028708010335908,34
44,1995,Oceania,16.452800000000003,3
45,1996,Africa,9.163157894736841,2
46,1996,Americas,10.811277533039643,24
47,1996,Asia,14.675290322580645,14
48,1996,Europe,22.716434108527114,34
49,1996,Oceania,15.44206896551724,3
50,1997,Africa,7.421499999999997,2
51,1997,Americas,10.36845132743363,23
52,1997,Asia,14.290243902439023,15
53,1997,Europe,22.662287234042545,33
54,1997,Oceania,17.084074074074074,3
55,1998,Africa,8.118500000000001,2
56,1998,Americas,11.709563318777295,23
57,1998,Asia,14.796467065868256,15
58,1998,Europe,21.78168393782383,34
59,1998,Oceania,15.84925925925926,3
60,1999,Africa,9.8395,2
61,1999,Americas,12.210590717299581,24
62,1999,Asia,14.145705882352935,17
63,1999,Europe,21.58499999999999,36
64,1999,Oceania,14.331250000000004,2
65,2000,Africa,7.907368421052634,2
66,2000,Americas,12.394256198347108,26
67,2000,Asia,13.872941176470592,17
68,2000,Europe,21.735659898477167,36
69,2000,Oceania,13.707826086956528,2
70,2001,Africa,8.867999999999999,3
71,2001,Americas,12.5930737704918,27
72,2001,Asia,13.857076023391812,17
73,2001,Europe,20.648492462311545,35
74,2001,Oceania,12.30125,3
75,2002,Africa,12.73391304347826,3
76,2002,Americas,12.711325301204822,25
77,2002,Asia,13.633192771084339,16
78,2002,Europe,20.504126582278484,35
79,2002,Oceania,12.340909090909092,3
80,2003,Africa,8.1248,3
81,2003,Americas,12.359016393442625,27
82,2003,Asia,14.29426829268294,16
83,2003,Europe,19.74948979591837,35
84,2003,Oceania,10.743666666666668,3
85,2004,Africa,7.688260869565218,3
86,2004,Americas,12.54611336032388,28
87,2004,Asia,13.127189542483661,16
88,2004,Europe,18.524718498659496,33
89,2004,Oceania,11.744848484848482,3
90,2005,Africa,7.5656,3
91,2005,Americas,11.267722007722005,27
92,2005,Asia,12.83907894736842,16
93,2005,Europe,18.73633152173912,34
94,2005,Oceania,11.092631578947367,2
95,2006,Africa,16.938888888888894,3
96,2006,Americas,12.293526970954362,26
97,2006,Asia,12.655280898876416,17
98,2006,Europe,18.010262390670558,31
99,2006,Oceania,10.171612903225805,3
100,2007,Africa,12.046799999999998,3
101,2007,Americas,12.342024793388426,25
102,2007,Asia,10.72432584269663,18
103,2007,Europe,17.6386224489796,35
104,2007,Oceania,9.963333333333333,3
105,2008,Africa,5.963636363636363,3
106,2008,Americas,12.107966804979261,24
107,2008,Asia,12.22629139072848,15
108,2008,Europe,17.387688442211058,36
109,2008,Oceania,9.992424242424248,3
110,2009,Africa,6.422000000000001,3
111,2009,Americas,11.561686746987952,26
112,2009,Asia,10.073108808290161,19
113,2009,Europe,17.673917525773184,35
114,2009,Oceania,10.799677419354838,3
115,2010,Africa,8.039545454545456,3
116,2010,Americas,12.253134920634924,27
117,2010,Asia,10.11263157894737,20
118,2010,Europe,16.4660723514212,35
119,2010,Oceania,11.885833333333336,2
120,2011,Africa,9.8271875,4
121,2011,Americas,11.243162055335965,26
122,2011,Asia,9.947513812154698,18
123,2011,Europe,16.597851239669417,34
124,2011,Oceania,11.606363636363634,3
125,2012,Africa,6.204230769230768,3
126,2012,Americas,12.091926229508195,24
127,2012,Asia,10.26317073170732,16
128,2012,Europe,15.993864864864872,33
129,2012,Oceania,11.446470588235293,3
130,2013,Africa,9.383461538461535,3
131,2013,Americas,11.067457627118644,22
132,2013,Asia,10.660573248407642,16
133,2013,Europe,15.727715053763449,33
134,2013,Oceania,12.318695652173913,2
135,2014,Africa,6.9487999999999985,3
136,2014,Americas,10.385601851851852,20
137,2014,Asia,9.571428571428564,17
138,2014,Europe,15.485631313131325,35
139,2014,Oceania,12.4225,1
